andalusi;Andalusi;;;;;;;;;;;;x;
ANDALUS_SCENARIO_NAME;The Peace of Cadiz;;;;;;;;;;;;x;
ANDALUS_SCENARIO_DESC;With the Fall of Narbuna and suicide of Sahim Tirruni, at long last, the devastating and destructive years of the Tirruni Wars have come to an end, bringing one of history's great eras to a close. The Great Powers met in a grand conference soon afterwards, the Congress of Cadiz, with the ultimate ambition of restoring the natural order of monarchism throughout the tattered nations of Europe, suppressing radicalism and radicals wherever they could be found, and enforcing their position on the continental and world stage for decades to come. None can say whether they've succeeded in those ambitions, but as the first morning of 1836 dawns, there is no doubt that the next hundred years are rich with possibilities, alive with aspirations, and rife with ambitions. Anything can happen.;;;;;;;;;;;;x;
manichaeism;Manichaeism;;;;;;;;;;;;x;
jain;Jain;;;;;;;;;;;;x;
siculo_arab;Siculo-Arab;;;;;;;;;;;;x;
sahidic;Sahidic;;;;;;;;;;;;x;
english;English;;;;;;;;;;;;x;
scottish;Scottish;;;;;;;;;;;;x;
welsh;Welsh;;;;;;;;;;;;x;
EVTNAME8000012;The Iberian Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000012;Throughout the Congress of Cadiz, our diplomats attempted in vain to convince the rest of the assembly to return the northern and eastern territories to Al Andalus, likely worrying about the ambitions and power of a reunited Iberia. We must not let them dictate our destiny however, with the Sultan determined to make a grand declaration to the rest of the world in which he will insist that Andalusi claims will not go forgotten. Some of our vizier agree that we must re-acquire northern Iberia, which was captured from Sahim Tirruni during the last days of the great war. Some also believe that Al Andalus has a rightful claim to Qattalun, but the region has been independent for almost 70 years now, making that another heated point of discussion... What should we do?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
AUS;Vienna;;;;;;;;;;;;x;
cathar;Cathar;Cathar;Katholisch;;Católica;;;;;;;;;x;;;;
liberal_rebels_title;Liberal Revolutionary;Fascistes;Faschist;;Fascista;;;;;;;;;x;;;;
liberal_rebels_name;$COUNTRY$ Liberal Revolutionaries;$COUNTRY$ - Fascistes;$COUNTRY$e Faschisten;;$COUNTRY$ fascista;;;;;;;;;x;;;;
CRS_absolute_monarchy;Emirate of Corsica;;;;;;;;;;x;;;
EVTNAME8009999;The Revived State of Francia, and the Pact of Paris;;;;;;;;;;x;;;
EVTDESC8009999;With every aspect of the country now under their control, the fascist government in France have declared their intention to support similar movements all across the world, movements that are violently opposed to monarchy, capitalism and communism - this is the so-called Pact of Paris, the beginnings of an alliance that hopes to stretch across the globe. Furthermore, in an effort to unite their culturally-diverse territories, the fascists have taken to calling themselves the 'Revived State of Francia', an empire that lays claim to France, Occitania, Britain, Holland, Germany and large parts of Eastern Europe. With this declaration, they send a clear challenge to the other Great Powers, one that can only be answered with blood and tears.;;;;;;;;;;x;;;
EVTNAME8008888;The International League of Monarchies;;;;;;;;;;;;x;
EVTDESC8008888;Riding the wave of popularity that followed his victory in the Great War, Sultan Ajeddig Almoravid made a momentous announcement from his marble palace in Marrakesh this past week, declaring the formation of a venture that seeks to stabilise failing monarchies around the world, restore overthrown dynasties to their toppled thrones, and counter the recent gains made by fascists and communists alike - this is the International League of Monarchies, or as critics like to call it, the Absolutist Alliance.;;;;;;;;;;;;x;
picard;Wallonian;;;;;;;;;;;;x;
CHI_absolute_monarchy;Guang China;;;;;;;;;;;;;x
ARM;Little Armenia;;;;;;;;;;x;;;
YUG;Balkan Federation;;;;;;;;;;x;;;
YUG_ADJ;Balkan;;;;;;;;;;x;;;
ABU;Abu Dhabi;;;;;;;;;;x;;;
ABU_ADJ;Abu Dhabi;;;;;;;;;;x;;;
BAD_ADJ;Swabian;;;;;;;;;;x;;;
AH6;Rajputana;;;;;;;;;;x;;;
AH6_ADJ;Rajputana;;;;;;;;;;x;;;
AH7;Berber Union;;;;;;;;;;x;;;
AH7_ADJ;Berber Union;;;;;;;;;;x;;;
AH8;Dual Monarchy;;;;;;;;;;x;;;
AH8_ADJ;Frangleterre;;;;;;;;;;x;;;
AH1;Rhodes;;;;;;;;;;x;;;
AH1_ADJ;Rhodesian;;;;;;;;;;x;;;
NGF;German Republic;;;;;;;;;;x;;;
SCA_absolute_monarchy;Scandinavia-Novgorod;Scandinavie;Skandinawien;;Escandinavia;;;;;;;;;x;;;;
SAF;Southern Berber Republic;Afrique du sud;S?afrika;;Sud?rica;;;;;;;;;x;;;;
SAF_absolute_monarchy;Wilayah Izdariyah;Afrique du sud;S?afrika;;Sud?rica;;;;;;;;;x;;;;
AH1_absolute_monarchy;Emirate of Rhodos;;;;;;;;;;x;;;
GUA_absolute_monarchy;Tlapanec Empire;;;;;;;;;;x;;;
ELS_absolute_monarchy;Islamic Republic of Ibriz;;;;;;;;;;x;;;
AH3;Buryatia;;;;;;;;;;x;;;
AH3_ADJ;Buryatian;;;;;;;;;;x;;;
AH4;Peloponnesian Kingdom;;;;;;;;;;x;;;
AH4_ADJ;Peloponnesian;;;;;;;;;;x;;;
AH5;Outremer;;;;;;;;;;x;;;
AH5_ADJ;Outremer;;;;;;;;;;x;;;
PALERMO_conservative;Revolutionary Pact;;;;;;;;;;x;;;
ADU_conservative;Moderate Faction;;;;;;;;;;x;;;
ADU_reactionary;Royalist Faction;;;;;;;;;;x;;;
ADU_liberal;Imperialist Faction;;;;;;;;;;x;;;
ADU_anarcho_liberal;Radical Faction;;;;;;;;;;x;;;
ADU_socialist;Socialist Faction;;;;;;;;;;x;;;
ADU_communist;Communist Faction;;;;;;;;;;x;;;
ADU_fascist;Supreme Sultanic Faction;;;;;;;;;;x;;;
ADU_liberal_2;Republican Faction;;;;;;;;;;x;;;
ADU_reactionary_2;Absolutist Faction;;;;;;;;;;x;;;
AJ1;Khedivate of Kongo;;;;;;;;;;;;;x
AJ1_ADJ;Khedivate;;;;;;;;;;;;;x
AJ1_democracy;Republic of Kongo;;;;;;;;;;x;;;
AJ1_proletarian_dictatorship;Kongo;;;;;;;;;;x;;;
AJ1_presidential_dictatorship;Kongo State;;;;;;;;;;x;;;
AJ1_fascist_dictatorship;Kongo State;;;;;;;;;;x;;;
AJ1_bourgeois_dictatorship;Republic of Kongo;;;;;;;;;;x;;;
AJ1_liberal;Liberal Union of the Kongo;;;;;;;;;;x;;;
AJ1_conservative;New Guard of the Kongo;;;;;;;;;;x;;;
AJ1_socialist;Socialist Coalition of West Africa;;;;;;;;;;;;x;
AJ1_reactionary;House of Min-al-Bita;;;;;;;;;;;;x;
AJ1_anarcho_liberal;League of Gentlemen and Scholars;;;;;;;;;;;;x;
AJ1_communist;United Communes of West Africa;;;;;;;;;;;;x;
AJ1_fascist;Kongo Independance Force;;;;;;;;;;;;x;
FRA_reactionary;Roman Absolutist Party;Légitimiste;Légitimiste;;Légitimiste;;;;;;;;;x;;;;
FRA_liberal;Liberal Party;Orléaniste;Orléaniste;;Orléaniste;;;;;;;;;x;;;;
FRA_conservative;Congressional Party;Républicain modéré;Républicain modéré;;Républicain modéré;;;;;;;;;x;;;;
FRA_socialist;Socialist Party;Républicain démocratique;Républicain démocratique;;Républicain démocratique;;;;;;;;;x;;;;
FRA_liberal_2;New Liberal Party;Libéral;Libéral;;Libéral;;;;;;;;;x;;;;
FRA_conservative_2;Roman Royalist Bloc;Républicain;Républicain;;Républicain;;;;;;;;;x;;;;
FRA_conservative_3;Reformed Congressional Party;Bonapartiste;Bonapartiste;;Bonapartiste;;;;;;;;;x;;;;
FRA_conservative_4;Roman Advocates;Orléaniste;Orléaniste;;Orléaniste;;;;;;;;;x;;;;
FRA_liberal_3;Unionist Party;Opportunistes;Opportunistes;;Opportunistes;;;;;;;;;x;;;;
FRA_anarcho_liberal;Radical Republican Party;Républicain radical;Républicain radical;;Républicain radical;;;;;;;;;x;;;;
FRA_socialist_2;Socialist Bloc of France;Possibilistes;Possibilistes;;Possibilistes;;;;;;;;;x;;;;
FRA_communist;Communist Party of France and England;Parti communiste français;Parti Ouvrier Français;;Parti Ouvrier Français;;;;;;;;;x;;;;
FRA_conservative_5;Reformed Moderate Party;Royaliste;Royaliste;;Royaliste;;;;;;;;;x;;;;
FRA_reactionary_2;Traditionalist Party;Droite nationaliste;Droite nationaliste;;Droite nationaliste;;;;;;;;;x;;;;
FRA_socialist_3;Socialist Alliance of France;SFIO;SFIO;;SFIO;;;;;;;;;x;;;;
FRA_fascist;National Union of Fascists;Fascistes;Faschisten;;Fascistas;;;;;;;;;x;;;;
MLT;Jizrunid Isle;;;;;;;;;;x;;;
MLT_ADJ;Jizrunid;;;;;;;;;;x;;;
ICL;North Sea Kingdom;;;;;;;;;;x;;;
ICL_absolute_monarchy;North Sea Kingdom;;;;;;;;;;x;;;
hms_government;Constitutional Monarchy;Gouvernement de Sa Majesté;Ihrer Majestät Regierung;;Gobierno monárquico;;;;;;;;;x;;;;
SIB_absolute_monarchy;Siberian Tsardom;;;;;;;;;;x;;;
SIB_proletarian_dictatorship;Siberian Commune;;;;;;;;;;x;;;
AH2;Pishinoglu;;;;;;;;;;x;;;
AH2_ADJ;Pishinoglu;;;;;;;;;;x;;;
AH2_absolute_monarchy;Pishinoglu;;;;;;;;;;x;;;
AH2_proletarian_dictatorship;Caspian Commune;;;;;;;;;;x;;;
AH2_presidential_dictatorship;Caspian Republic;;;;;;;;;;x;;;
AH2_democracy;Caspian Republic;;;;;;;;;;x;;;
AH2_fascist_dictatorship;Pishinoglu;;;;;;;;;;x;;;
AH2_bourgeois_dictatorship;Caspian Republic;;;;;;;;;;x;;;
ADU_reactionary;Al Atar;;;;;;;;;;x;;;
ADU;Al Andalus;;;;;;;;;;x;;;
ELS_reactionary;Vanguard of the Islamic Revolution;;;;;;;;;;x;;;
ADU_ADJ;Andalusi;;;;;;;;;;x;;;
ADU_absolute_monarchy;Al Andalus;;;;;;;;;;x;;;
ADU_proletarian_dictatorship;Iberian Union;;;;;;;;;;x;;;
ADU_presidential_dictatorship;Al Andalus;;;;;;;;;;x;;;
ADU_fascist_dictatorship;Al Andalus;;;;;;;;;;x;;;
ADU_bourgeois_dictatorship;Al Andalus;;;;;;;;;;x;;;
AH8_absolute_monarchy;Dual Monarchy;;;;;;;;;;x;;;
AH8_proletarian_dictatorship;Workers Republic of the Channel;;;;;;;;;;x;;;
AH8_presidential_dictatorship;Republic of the Channel;;;;;;;;;;x;;;
AH8_fascist_dictatorship;Francia;;;;;;;;;;x;;;
AH8_fascist_dictatorship_ADJ;Frankish;;;;;;;;;;x;;;
AH8_bourgeois_dictatorship;Republic of the Channel;;;;;;;;;;x;;;
SLV;Latin Empire;;;;;;;;;;x;;;
SLV_absolute_monarchy;Latin Empire;;;;;;;;;;x;;;
SLV_proletarian_dictatorship;Slovakian Commune;;;;;;;;;;x;;;
SLV_presidential_dictatorship;Slovakia;;;;;;;;;;x;;;
SLV_fascist_dictatorship;Slovakia;;;;;;;;;;x;;;
SLV_bourgeois_dictatorship;Slovakia;;;;;;;;;;x;;;
ICL_absolute_monarchy;North Sea Kingdom;;;;;;;;;;x;;;
ICL_proletarian_dictatorship;Iceland;;;;;;;;;;x;;;
ICL_presidential_dictatorship;Iceland;;;;;;;;;;x;;;
ADU_absolute_monarchy_ADJ;Andalusi;;;;;;;;;;x;;;
NET_proletarian_dictatorship;Netherlands;;;;;;;;;;x;;;
NET_presidential_dictatorship;Netherlands;;;;;;;;;;x;;;
NET_fascist_dictatorship;Netherlands;;;;;;;;;;x;;;
NET_bourgeois_dictatorship;Netherlands;;;;;;;;;;x;;;
NET_ADJ;Dutch;;;;;;;;;;x;;;
GXI;Guang;;;;;;;;;;x;;;
GXI_ADJ;Guang;;;;;;;;;;x;;;
NRM;Normandy;;;;;;;;;;x;;;
NRM_ADJ;Norman;;;;;;;;;;x;;;
MEX;Ibriz;;;;;;;;;;x;;;
MEX_absolute_monarchy;Sultanate of Ibriz;;;;;;;;;;x;;;
MEX_proletarian_dictatorship;People's Republic of Ibriz;;;;;;;;;;x;;;
MEX_presidential_dictatorship;Ibriz;;;;;;;;;;x;;;
MEX_fascist_dictatorship;Ibriz;;;;;;;;;;x;;;
MEX_bourgeois_dictatorship;Ibriz;;;;;;;;;;x;;;
AD1;Palermo;Sicile;Sizilien;Sycylia;Sicilia;Sicilia;Szicília;Sicílie;Szicília;Sicilië;Sicília;???????;Sisilia;x;;x;;;;
AD1_ADJ;Palermo;;;;;;;;;;;;;x
AD2;Crusader Egypt;;;;;;;;;;;;;x
AD2_ADJ;Egyptian;;;;;;;;;;;;;x
AD2_conservative;Faction of Apanoub Dynasty;;;;;;;;;;;;;x
AD2_liberal;Constitutional Party;;;;;;;;;;;;;x
AD2_reactionary;Absolutist Advocate Alliance;;;;;;;;;;;;;x
AD2_socialist;Socialist Alliance of Egypt;;;;;;;;;;;;;x
AD2_communist;United Communist Alliance of Egypt;;;;;;;;;;;;;x
AD2_anarcho_liberal;Radical-Progressive Party;;;;;;;;;;;;;x
AD2_fascist;Fascist Unions of Egypt;;;;;;;;;;;;;x
AD3;Celtic Union;;;;;;;;;;x;;;
AD3_ADJ;Celtic;;;;;;;;;;x;;;
AD3_absolute_monarchy;Celtic Empire;;;;;;;;;;x;;;
AD3_proletarian_dictatorship;Celtic Union;;;;;;;;;;x;;;
AD3_presidential_dictatorship;Celtic Republic;;;;;;;;;;x;;;
AD3_fascist_dictatorship;Hibernia;;;;;;;;;;x;;;
AD3_bourgeois_dictatorship;Celtic Republic;;;;;;;;;;x;;;
AD3_democracy;United Republic;;;;;;;;;;x;;;
NEP_absolute_monarchy;Nepalese Empire;;;;;;;;;;x;;;
PEU_absolute_monarchy;Incan Empire;;;;;;;;;;x;;;
PEU_proletarian_dictatorship;Andean Union;;;;;;;;;;x;;;
PEU_presidential_dictatorship;Andean Republic;;;;;;;;;;x;;;
ORI_absolute_monarchy;Cedi Empire;;;;;;;;;;x;;;
BUR_absolute_monarchy;Bengal;;;;;;;;;;x;;;
KOK_absolute_monarchy;Kokand Khanate;;;;;;;;;;x;;;
CAM_absolute_monarchy;Khmer;;;;;;;;;;x;;;
